time,USIRYY,USM2,USPPIYY,INDPRO,UNRATE,USOIL,CPIAUCSL,Annual Inflation Rate
1959-01-01,1.4,286600000000.0,0.0,21.9616,6.0,3.0,29.01,1.2918994413407825
1959-02-01,1.0,287700000000.0,0.0,22.3917,5.9,3.0,29.0,1.0452961672473782
1959-03-01,0.3,289200000000.0,-0.6,22.7142,5.6,2.97,28.97,0.3463803255975062
1959-04-01,0.3,290100000000.0,0.0,23.1981,5.2,2.97,28.98,0.13821700069107656
1959-05-01,0.3,292200000000.0,0.0,23.5476,5.1,2.97,29.04,0.3455425017277136
1959-06-01,0.7,294100000000.0,-0.3,23.5744,5.0,2.97,29.11,0.6918021445866396
1959-07-01,0.7,295200000000.0,-0.3,23.0099,5.1,2.97,29.15,0.8999653859466772
1959-08-01,1.0,296400000000.0,-0.6,22.2304,5.2,2.97,29.18,0.8293020041465038
1959-09-01,1.4,296700000000.0,0.6,22.2035,5.5,2.97,29.25,1.1760636457972984
1959-10-01,1.7,296500000000.0,-0.3,22.0422,5.7,2.97,29.35,1.5219647180906293
1959-11-01,1.4,297100000000.0,-0.6,22.1766,5.8,2.97,29.35,1.3816925734024155
1959-12-01,1.7,297800000000.0,-0.3,23.5475,5.3,2.97,29.41,1.5188125647221273
1960-01-01,1.0,298200000000.0,0.0,24.1658,5.2,2.97,29.37,1.2409513960703222
1960-02-01,1.7,298400000000.0,-0.3,23.9508,4.8,2.97,29.41,1.4137931034482687
1960-03-01,1.7,299300000000.0,0.6,23.7357,5.4,2.97,29.41,1.5188125647221273
1960-04-01,1.7,300100000000.0,0.6,23.5476,5.2,2.97,29.54,1.9323671497584405
1960-05-01,1.7,300900000000.0,0.3,23.5207,5.1,2.97,29.57,1.8250688705234275
1960-06-01,1.7,302300000000.0,0.6,23.225,5.4,2.97,29.61,1.7176228100309165
1960-07-01,1.4,304100000000.0,1.21,23.1443,5.5,2.97,29.55,1.3722126929674117
1960-08-01,1.4,306900000000.0,1.21,23.1175,5.6,2.97,29.61,1.473612063056895
1960-09-01,1.0,308400000000.0,0.0,22.8755,5.5,2.97,29.61,1.2307692307692353
1960-10-01,1.4,309500000000.0,1.81,22.8487,6.1,2.97,29.75,1.3628620102214661
1960-11-01,1.4,310900000000.0,2.12,22.5261,6.1,2.97,29.78,1.4650766609880739
1960-12-01,1.4,312400000000.0,1.82,22.096,6.6,2.97,29.81,1.3600816048962905
1961-01-01,1.7,314100000000.0,1.51,22.1229,6.6,2.97,29.84,1.6002723867892366
1961-02-01,1.4,316500000000.0,1.81,22.096,6.9,2.97,29.84,1.4620877252635056
1961-03-01,1.4,318300000000.0,0.6,22.2304,6.9,2.97,29.84,1.4620877252635056
1961-04-01,1.0,319900000000.0,-0.3,22.6874,7.0,2.97,29.81,0.9140148950575577
1961-05-01,1.0,322200000000.0,-0.3,23.0368,7.1,2.97,29.84,0.9130875887723988
1961-06-01,0.7,324300000000.0,-0.3,23.3594,6.9,2.97,29.84,0.7767646065518496
1961-07-01,1.4,325600000000.0,-0.6,23.6282,7.0,2.97,29.92,1.25211505922167
1961-08-01,1.0,327600000000.0,0.0,23.8432,6.6,2.97,29.94,1.1144883485309176
1961-09-01,1.4,329500000000.0,-0.3,23.8164,6.7,2.97,29.98,1.249577845322536
1961-10-01,0.7,331100000000.0,-1.19,24.2733,6.5,2.97,29.98,0.7731092436974896
1961-11-01,0.7,333400000000.0,-0.89,24.6497,6.1,2.97,29.98,0.671591672263272
1961-12-01,0.7,335500000000.0,-0.6,24.8647,6.0,2.97,30.01,0.6709158000671067
1962-01-01,0.7,337500000000.0,-0.3,24.6496,5.8,2.97,30.04,0.6702412868632601
1962-02-01,1.0,340100000000.0,-0.3,25.0529,5.5,2.97,30.11,0.9048257372654245
1962-03-01,1.0,343100000000.0,-0.3,25.1873,5.6,2.97,30.17,1.1058981233244003
1962-04-01,1.3,345500000000.0,0.3,25.241,5.6,2.97,30.21,1.3418316001341912
1962-05-01,1.3,347500000000.0,0.3,25.2141,5.5,2.97,30.24,1.3404825737265424
