leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,data_type,mse,rmse,mae,r2,mape
"('USM2',)",1,MinMax,LSTM,50,NONE,RAW,0.08293475797505494,0.2879839543708207,0.20937769379498086,-4.0515754838312406,63.30832455724399
"('USM2',)",1,MinMax,GRU,50,NONE,RAW,0.0963806385475404,0.31045231283973457,0.22471264159111662,-4.870567210785097,67.89074979839039
"('USM2',)",1,MinMax,CNN,50,NONE,RAW,0.01181192063953652,0.1086826602523904,0.07614333424844424,0.28053315429472825,29.921016988188658
"('USM2',)",1,MinMax,RNN,50,NONE,RAW,0.01761040835176003,0.1327042137679133,0.09241957319686087,-0.07265408692414943,33.885973204342434
"('USM2',)",1,MinMax,ANN,50,NONE,RAW,0.02570280990609534,0.1603209590356025,0.10123412371474662,-0.5655641561799587,30.913225960785784
"('USM2',)",1,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.016524860210889423,0.12854905760405022,0.0903241286063955,-0.006533096053350507,34.049139071062925
"('USM2',)",1,MinMax,XGBOOST,N/A,NONE,RAW,0.01673643726138311,0.1293693830138457,0.08807370099285136,-0.019420303628450597,32.22081686507095
"('USM2',)",1,Standard,LSTM,50,NONE,RAW,1.0645227619895596,1.0317571235467966,0.6700430276503649,-0.8711147935750196,800.0146928206476
"('USM2',)",1,Standard,GRU,50,NONE,RAW,2.2988907574821362,1.5162093382782393,1.0516596211686424,-3.0407670542416216,1389.4573876237052
"('USM2',)",1,Standard,CNN,50,NONE,RAW,1.6556137820181742,1.2867065640689699,0.8498960697585353,-1.910077220134891,1177.5570959555519
"('USM2',)",1,Standard,RNN,50,NONE,RAW,0.37181312511659836,0.6097648113138363,0.4172822510349772,0.3464629750605087,107.36494591668126
"('USM2',)",1,Standard,ANN,50,NONE,RAW,1.3342657572129573,1.1551042191997039,0.6831099555071916,-1.3452428506232588,708.1646483994301
"('USM2',)",1,Standard,RANDOM_FOREST,N/A,NONE,RAW,0.5720727051003017,0.7563548803969614,0.5330360604221029,-0.005533878404896386,329.8695824660364
"('USM2',)",1,Standard,XGBOOST,N/A,NONE,RAW,0.5810273994052944,0.762251532897963,0.5172718661232298,-0.02127357095472826,361.91454414155174
"('USPPIYY',)",1,MinMax,LSTM,50,NONE,RAW,0.009196676960548305,0.0958993063611427,0.08299117722849836,0.4398282577662438,37.2879970734568
"('USPPIYY',)",1,MinMax,GRU,50,NONE,RAW,0.007146726345815817,0.08453831288721,0.07334991099598827,0.564691228627775,36.77129259264863
"('USPPIYY',)",1,MinMax,CNN,50,NONE,RAW,0.0026944538492470584,0.0519081289322497,0.04143291870507884,0.8358801865526015,20.881299431919967
"('USPPIYY',)",1,MinMax,RNN,50,NONE,RAW,0.0025756602064638326,0.050750962616130074,0.04081129196570799,0.8431159350876036,18.58472103070337
"('USPPIYY',)",1,MinMax,ANN,50,NONE,RAW,0.0046051560200614005,0.06786129987011301,0.05606921940390747,0.7194988709419381,24.66898424081255
"('USPPIYY',)",1,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.005289179708855252,0.07272674686011503,0.06268337304603473,0.6778348282529831,30.151346834872932
"('USPPIYY',)",1,MinMax,XGBOOST,N/A,NONE,RAW,0.0049783819864375215,0.07055765009152105,0.059691369766118926,0.696765590135332,28.336474826395648
"('USPPIYY',)",1,Standard,LSTM,50,NONE,RAW,0.21925371096905347,0.4682453533875734,0.40720517914904736,0.6146171065673831,82.29418281761474
"('USPPIYY',)",1,Standard,GRU,50,NONE,RAW,0.1739447946559612,0.4170668947015109,0.3606268904567655,0.6942567221974254,95.16596270096453
"('USPPIYY',)",1,Standard,CNN,50,NONE,RAW,0.22495592296981046,0.4742951854803193,0.4042385080094899,0.604594311741675,133.59276018404316
"('USPPIYY',)",1,Standard,RNN,50,NONE,RAW,0.12012373161058978,0.3465887066979964,0.2898316762551234,0.7888581632055189,136.74762250409856
"('USPPIYY',)",1,Standard,ANN,50,NONE,RAW,0.24491399696643953,0.49488786302195725,0.38866454360436986,0.569513946304901,383.4151464150422
"('USPPIYY',)",1,Standard,RANDOM_FOREST,N/A,NONE,RAW,0.18063175126751424,0.42500794259344643,0.3684549512665156,0.6825030388694272,385.9888046363678
"('USPPIYY',)",1,Standard,XGBOOST,N/A,NONE,RAW,0.17236482371105163,0.41516842812411886,0.3517410363917534,0.6970338417800199,287.18513070402093
"('INDPRO',)",1,MinMax,LSTM,50,NONE,RAW,0.01739201255697141,0.1318787797826906,0.08717481742541167,-0.05935154804102094,30.157182278657103
"('INDPRO',)",1,MinMax,GRU,50,NONE,RAW,0.017254698905770572,0.13135714257614836,0.08988283244236782,-0.05098774146657914,32.5728681739855
"('INDPRO',)",1,MinMax,CNN,50,NONE,RAW,0.017922898217679815,0.13387642890994597,0.09950721873221952,-0.09168791766253426,39.7617377788728
"('INDPRO',)",1,MinMax,RNN,50,NONE,RAW,0.020120153227817565,0.14184552593514385,0.09510093956653809,-0.22552323366207894,33.39786706635151
"('INDPRO',)",1,MinMax,ANN,50,NONE,RAW,0.018121240619045735,0.13461515746395625,0.11232320319582897,-0.10376899966732744,48.52133609490592
"('INDPRO',)",1,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.02959100454919409,0.17202036085648142,0.14382687884606354,-0.8023950002676614,58.99986912393682
"('INDPRO',)",1,MinMax,XGBOOST,N/A,NONE,RAW,0.027503396317603193,0.16584147948448602,0.12989524271775488,-0.675238295165552,52.353432608913195
"('INDPRO',)",1,Standard,LSTM,50,NONE,RAW,0.5745600066845501,0.7579973658823295,0.5284369993013888,-0.009905815724180478,344.27273114409894
"('INDPRO',)",1,Standard,GRU,50,NONE,RAW,0.5943238506825932,0.770924023936596,0.5333657984145119,-0.044644782520467885,393.7949202517759
"('INDPRO',)",1,Standard,CNN,50,NONE,RAW,0.6317068534139832,0.794799882620766,0.5274826221981239,-0.1103529965075778,436.6288190424855
"('INDPRO',)",1,Standard,RNN,50,NONE,RAW,0.6005181872749235,0.7749310855004614,0.649092390996338,-0.055532586190001565,134.7950714545423
"('INDPRO',)",1,Standard,ANN,50,NONE,RAW,0.6331306948163601,0.7956951016666874,0.5204857745438458,-0.11285568673348956,427.97759052774467
"('INDPRO',)",1,Standard,RANDOM_FOREST,N/A,NONE,RAW,1.026711372237152,1.013267670577302,0.8465038244884451,-0.8046536024595452,566.013147993091
"('INDPRO',)",1,Standard,XGBOOST,N/A,NONE,RAW,0.9535429903384536,0.976495258738338,0.7655315756513,-0.6760453221286227,194.25401505470475
"('UNRATE',)",1,MinMax,LSTM,50,NONE,RAW,0.02658618043423641,0.1630526922017432,0.14469713192938705,-0.6193704614258084,66.37522526908057
"('UNRATE',)",1,MinMax,GRU,50,NONE,RAW,0.02900788316111352,0.1703170078445295,0.14847241924826107,-0.7668769402883768,68.23238997175814
"('UNRATE',)",1,MinMax,CNN,50,NONE,RAW,0.04139930497077702,0.20346819154545268,0.17126905860754868,-1.5216413376516091,75.36162810494308
"('UNRATE',)",1,MinMax,RNN,50,NONE,RAW,0.06825182227421457,0.2612504971750572,0.20959817734507108,-3.1572344400032106,82.58706224175769
"('UNRATE',)",1,MinMax,ANN,50,NONE,RAW,0.07436484325990285,0.2726991808933478,0.2270994496596517,-3.529579976391428,102.66955787789156
"('UNRATE',)",1,MinMax,RANDOM_FOREST,N/A,NONE,RAW,0.04364259935445823,0.2089081122275012,0.1713142258398086,-1.6582809226496003,81.34969144612698
"('UNRATE',)",1,MinMax,XGBOOST,N/A,NONE,RAW,0.05990551126893415,0.2447560239686332,0.19580239673219557,-2.6488586867709296,93.30549936030982
"('UNRATE',)",1,Standard,LSTM,50,NONE,RAW,1.0396437346707181,1.0196292143081809,0.933339813167401,-0.8273848539924802,218.2068277313291
"('UNRATE',)",1,Standard,GRU,50,NONE,RAW,1.1730695924959837,1.0830833728277725,0.9748708935146186,-1.0619078772068398,168.74897930419127
"('UNRATE',)",1,Standard,CNN,50,NONE,RAW,1.1064361829015108,1.0518727028027255,0.8668211713822356,-0.9447861369393598,632.8776933551038
"('UNRATE',)",1,Standard,RNN,50,NONE,RAW,1.3211013682897705,1.1493917383946044,1.019106658097367,-1.3221037654462418,302.9395788434532
"('UNRATE',)",1,Standard,ANN,50,NONE,RAW,1.2315462048788597,1.1097505147008762,0.9267588673904059,-1.1646923909952114,237.31910173449342
"('UNRATE',)",1,Standard,RANDOM_FOREST,N/A,NONE,RAW,1.4425338140983561,1.2010552918572717,0.989680014029653,-1.5355459330404657,1228.6821423597617
"('UNRATE',)",1,Standard,XGBOOST,N/A,NONE,RAW,2.0339541460202484,1.4261676430280728,1.1473065389573183,-2.575087192084914,1432.5927965817177
"('USOIL',)",1,MinMax,LSTM,50,NONE,RAW,0.03612387519062539,0.1900628190641857,0.14388328297999012,-1.2003136772742469,58.884863865583405
"('USOIL',)",1,MinMax,GRU,50,NONE,RAW,0.08636388313669886,0.2938773266801964,0.27015985885274835,-4.260444298553766,128.43223021181734
"('USOIL',)",1,MinMax,CNN,50,NONE,RAW,0.03604315423345778,0.18985034694057787,0.1649937322332526,-1.195396944914795,78.5080188070608
"('USOIL',)",1,MinMax,RNN,50,NONE,RAW,0.04850137259089136,0.22023027174049292,0.19379142619111558,-1.9542299356079957,89.01440295198987
"('USOIL',)",1,MinMax,ANN,50,NONE,RAW,0.040881055848937725,0.20219064233771483,0.1784259888419924,-1.4900746625648154,79.4970580455204
