leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,business_cycle_range,leads_lags,mse,rmse,mae,r2,mape
"('USM2',)",1,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.01097327158282016,0.10475338458885307,0.08098471122659716,0.12015410047458885,19.83106614903727
"('USM2',)",1,MinMax,GRU,50,Baxter_King,6-32Q,12,0.011193865538262422,0.10580106586543644,0.08016964138974468,0.10246669652298768,19.00556552190399
"('USM2',)",1,MinMax,CNN,50,Baxter_King,6-32Q,12,0.01290072667287349,0.11358136586990619,0.08667444551066941,-0.034390826688050824,20.72699965095841
"('USM2',)",1,MinMax,RNN,50,Baxter_King,6-32Q,12,0.01849260971279974,0.13598753513759906,0.09908008887939428,-0.482752587004599,21.109882423268335
"('USM2',)",1,MinMax,ANN,50,Baxter_King,6-32Q,12,0.010208312152290705,0.10103619228915302,0.07766594361315883,0.18148917390049046,17.908205127393074
"('USM2',)",1,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.04215357342302536,0.20531335422476873,0.1481688784489568,-2.3799080289472188,31.231571561235732
"('USM2',)",1,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.035913123943093254,0.18950758281159424,0.14251447242579776,-1.8795436804779868,29.10023636534282
"('USM2',)",1,Standard,LSTM,50,Baxter_King,6-32Q,12,2.2897279096207503,1.5131846911797484,1.1503165735239704,-1.1623706904398894,630.2099590786506
"('USM2',)",1,Standard,GRU,50,Baxter_King,6-32Q,12,3.2315540913026917,1.7976523833329656,1.2815119908545722,-2.0518114498422864,590.4171579680952
"('USM2',)",1,Standard,CNN,50,Baxter_King,6-32Q,12,17.627671608955648,4.198532077876225,2.5696871486605417,-15.647200860742664,1514.6570689461046
"('USM2',)",1,Standard,RNN,50,Baxter_King,6-32Q,12,1.91517151026605,1.3838972181004086,1.0540137011478294,-0.8086475356151521,939.0946168317208
"('USM2',)",1,Standard,ANN,50,Baxter_King,6-32Q,12,10.165200967218711,3.18829122998805,2.1573096565935836,-8.599801156105782,1502.2184170474243
"('USM2',)",1,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,3.6490800867993114,1.9102565499951338,1.3757339215527333,-2.446114183964162,852.0534552981792
"('USM2',)",1,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,3.0238529256562034,1.7389229211371628,1.315684377463343,-1.8556628545978167,1134.2963378707313
"('USPPIYY',)",1,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.005732049776570518,0.0757103016542037,0.059674324574028756,0.540399555982285,13.46239231116106
"('USPPIYY',)",1,MinMax,GRU,50,Baxter_King,6-32Q,12,0.003841371959765624,0.06197880250348198,0.050133788894361896,0.6919956512656497,11.593665687369775
"('USPPIYY',)",1,MinMax,CNN,50,Baxter_King,6-32Q,12,0.0036103738484791143,0.060086386548694325,0.04752146385924972,0.7105172689509122,10.711378157240524
"('USPPIYY',)",1,MinMax,RNN,50,Baxter_King,6-32Q,12,0.005204644609658768,0.07214322289486912,0.05630123124471067,0.582687334061369,13.741778344108074
"('USPPIYY',)",1,MinMax,ANN,50,Baxter_King,6-32Q,12,0.006323496429841244,0.07952041517648939,0.06169646274966416,0.4929768790950211,13.910013873585521
"('USPPIYY',)",1,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.003966492185554559,0.06298009356578124,0.04941529535852286,0.6819634091237127,11.152978360714249
"('USPPIYY',)",1,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.005491038518716143,0.07410154194560423,0.058685349932922605,0.5597240359573021,12.731524828197822
"('USPPIYY',)",1,Standard,LSTM,50,Baxter_King,6-32Q,12,0.5086529565839163,0.7131991002405403,0.5689451805316927,0.5196388879651509,354.2819449315977
"('USPPIYY',)",1,Standard,GRU,50,Baxter_King,6-32Q,12,0.28125528137343997,0.5303350651931663,0.42745975906069,0.7343884509517623,260.3368397578207
"('USPPIYY',)",1,Standard,CNN,50,Baxter_King,6-32Q,12,0.41886911006404237,0.6472009811983,0.5142697370069114,0.6044288568403984,477.54216386190205
"('USPPIYY',)",1,Standard,RNN,50,Baxter_King,6-32Q,12,0.36917634134202915,0.6075988325713185,0.49653797441572983,0.6513576583629719,476.98114017402764
"('USPPIYY',)",1,Standard,ANN,50,Baxter_King,6-32Q,12,0.39504023555396783,0.6285222633717662,0.5054834565268977,0.6269323427830971,243.38259852570368
"('USPPIYY',)",1,Standard,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.34518356436848363,0.5875232458111624,0.462755836438407,0.6740159303313863,257.9887380874699
"('USPPIYY',)",1,Standard,XGBOOST,N/A,Baxter_King,6-32Q,12,0.4708798269573899,0.6862068397774754,0.5430888199678688,0.555311034008091,297.2131151497905
"('INDPRO',)",1,MinMax,LSTM,50,Baxter_King,6-32Q,12,0.011814386227636886,0.10869400272157101,0.08315303541052803,0.052712839617489515,19.526698248298697
"('INDPRO',)",1,MinMax,GRU,50,Baxter_King,6-32Q,12,0.011455968961356502,0.10703256028590787,0.08204429157510117,0.08145102947051575,19.675193949827914
"('INDPRO',)",1,MinMax,CNN,50,Baxter_King,6-32Q,12,0.012651042690877383,0.11247685402284945,0.08746621454793486,-0.014370960590834203,20.571740022667846
"('INDPRO',)",1,MinMax,RNN,50,Baxter_King,6-32Q,12,0.011635614482223892,0.10786850551585431,0.08432437124238974,0.06704690452834805,18.549789511700926
"('INDPRO',)",1,MinMax,ANN,50,Baxter_King,6-32Q,12,0.01601770458312134,0.12656107056722196,0.09475578084507988,-0.2843126674576233,22.838939626947614
"('INDPRO',)",1,MinMax,RANDOM_FOREST,N/A,Baxter_King,6-32Q,12,0.018561379119182705,0.1362401523750715,0.10486452044681038,-0.4882665743111354,23.379007167716022
"('INDPRO',)",1,MinMax,XGBOOST,N/A,Baxter_King,6-32Q,12,0.019939195867949084,0.1412062175258196,0.10781707385393097,-0.5987410492705876,24.47881884962267
"('INDPRO',)",1,Standard,LSTM,50,Baxter_King,6-32Q,12,1.6168696777408011,1.271561904800864,0.9763939985234341,-0.5269375835955932,970.88891358927
"('INDPRO',)",1,Standard,GRU,50,Baxter_King,6-32Q,12,1.3628803466218067,1.1674246642168422,0.9024663339906706,-0.28707542224948224,535.9086267798565
"('INDPRO',)",1,Standard,CNN,50,Baxter_King,6-32Q,12,3.4309883221572046,1.8522927204297934,1.3524776152764568,-2.240152926424825,1045.6655472648513
