features,n_features,scaler,model,seq_length,mse,rmse,mae,r2,mape
"('USM2',)",1,MinMax,LSTM,50,0.003921318308417113,0.06262043043941101,0.05449743436653346,0.9393087257912247,28.967254958816536
"('USM2',)",1,MinMax,GRU,50,0.04097736387807796,0.20242866367705428,0.13262363246657352,0.36578256803613407,59.21218284574944
"('USM2',)",1,MinMax,CNN,50,0.005115828106176674,0.0715250173448191,0.05920240211753821,0.9208209836649911,43.200479480860004
"('USM2',)",1,MinMax,RNN,50,0.003613468474273117,0.06011213250478739,0.05199939036263023,0.944073398595025,30.19733549912502
"('USM2',)",1,MinMax,ANN,50,0.00495780297498627,0.07041166788953568,0.05477943532898543,0.9232667801585754,38.79500980023463
"('USM2',)",1,MinMax,RANDOM_FOREST,N/A,8.784677151874488e-06,0.002963895604078269,0.0019343193807918647,0.9998640372425989,0.7552088284280025
"('USM2',)",1,MinMax,XGBOOST,N/A,3.8805518390538813e-05,0.006229407547314497,0.004328967316686999,0.9993993967915334,1.779609480062384
"('USM2',)",1,Standard,LSTM,50,0.025011118101067233,0.15814903762295626,0.11879606358292398,0.9737623171454124,111.80667909927871
"('USM2',)",1,Standard,GRU,50,0.0314308720863559,0.1772875406969026,0.14313587704733996,0.9670277334138961,118.7631058173386
"('USM2',)",1,Standard,CNN,50,0.03334046717451255,0.18259372161855003,0.11708770150469718,0.9650244902921264,90.72494522301302
"('USM2',)",1,Standard,RNN,50,0.03849751990596136,0.19620784873689778,0.157296481198464,0.9596145316695104,129.46897905559683
"('USM2',)",1,Standard,ANN,50,0.4924098023598032,0.7017191762805141,0.43795059204401116,0.4834420365935027,188.34443225111718
"('USM2',)",1,Standard,RANDOM_FOREST,N/A,0.00012960674163008833,0.011384495668675373,0.007429833419962188,0.9998640372425989,8.109543991242269
"('USM2',)",1,Standard,XGBOOST,N/A,0.000536711740763018,0.023167039965498785,0.015645335197821186,0.9994369674965522,14.268376656906028
"('USPPIYY',)",1,MinMax,LSTM,50,0.005490703102838937,0.07409927869310833,0.06398593497573911,0.9150189448028037,39.6395169935244
"('USPPIYY',)",1,MinMax,GRU,50,0.006781619014793489,0.08235058600151847,0.07126356858371642,0.8950390999060678,45.24927223846097
"('USPPIYY',)",1,MinMax,CNN,50,0.0052878393927561895,0.07271753153646093,0.06108508919187732,0.9181587197680784,38.529111400700714
"('USPPIYY',)",1,MinMax,RNN,50,0.006048091361399342,0.07776947576909171,0.06813112363977407,0.9063921002111703,41.079328627445065
"('USPPIYY',)",1,MinMax,ANN,50,0.008105468632486878,0.09003037616541919,0.07211428550116958,0.8745495313887279,47.35061727402094
"('USPPIYY',)",1,MinMax,RANDOM_FOREST,N/A,0.0010834219312298736,0.0329153753013675,0.01788257440215796,0.9832315939843671,10.254662926100535
"('USPPIYY',)",1,MinMax,XGBOOST,N/A,0.0013800503193976542,0.03714902851216508,0.01903845797262103,0.9786405984495861,9.709910837466282
"('USPPIYY',)",1,Standard,LSTM,50,0.06727607397837496,0.2593763173043656,0.2174529603202943,0.9294246548429574,228.28451128723975
"('USPPIYY',)",1,Standard,GRU,50,0.103201773418076,0.32125032827699335,0.2819068235480135,0.8917371310617679,221.1901442255145
