leading_indicators,n_indicators,scaler,model,seq_length,filter_applied,mse,rmse,mae,r2,mape
"('USM2',)",1,MinMax,LSTM,50,Kalman,0.31351768457830237,0.5599264992642359,0.5560236886696269,-110.8063741326474,227.43658390744974
"('USM2',)",1,MinMax,GRU,50,Kalman,0.447600321816934,0.6690293878574647,0.6618131011874322,-158.62279483618303,268.9247953592907
"('USM2',)",1,MinMax,CNN,50,Kalman,0.0069977627846954564,0.08365263166628685,0.07264735448397892,-1.495535411501709,32.404049207418204
"('USM2',)",1,MinMax,RNN,50,Kalman,0.01840432463955849,0.13566253955885718,0.10329190834462304,-5.563332492956242,36.80252437618135
"('USM2',)",1,MinMax,ANN,50,Kalman,0.00726043827657352,0.08520820545331019,0.05436789866109549,-1.5892104919358436,18.53610655611546
"('USM2',)",1,MinMax,RANDOM_FOREST,N/A,Kalman,0.005255039896890971,0.07249165398093059,0.06505333472929437,-0.8740472569643467,28.255683899873922
"('USM2',)",1,MinMax,XGBOOST,N/A,Kalman,0.005270782540513705,0.07260015523753173,0.06515844644435738,-0.8796613833415803,28.304613420650902
"('USM2',)",1,Standard,LSTM,50,Kalman,0.2377991534780441,0.4876465456435061,0.37171107398488323,-4.245003647617455,83.90898421735034
"('USM2',)",1,Standard,GRU,50,Kalman,0.17884590178399906,0.42290176375134575,0.40721028087272393,-2.944704568955153,70.03043977260225
"('USM2',)",1,Standard,CNN,50,Kalman,0.6977865126408578,0.8353361674444952,0.6020287801767451,-14.390688951285435,137.07996748970012
"('USM2',)",1,Standard,RNN,50,Kalman,6.114711587709067,2.4727942873820026,2.448196370972257,-133.86879205658713,386.13843353966314
"('USM2',)",1,Standard,ANN,50,Kalman,1.1318169710898167,1.063868869311353,0.8056751633495021,-23.96385733496538,176.9869537055445
"('USM2',)",1,Standard,RANDOM_FOREST,N/A,Kalman,0.08496597547389768,0.2914892373208618,0.26157972516958866,-0.8740472569643316,38.30479668442933
"('USM2',)",1,Standard,XGBOOST,N/A,Kalman,0.085390738658606,0.2922169376655056,0.26228429231677686,-0.8834160222462248,38.36421418211714
"('USPPIYY',)",1,MinMax,LSTM,50,Kalman,0.020911462183671597,0.1446079603053428,0.14289998981485832,-6.457425464573309,58.14029567776045
"('USPPIYY',)",1,MinMax,GRU,50,Kalman,0.017124494878662157,0.1308605932993663,0.13009705951778003,-5.106920838649278,53.34883348812938
"('USPPIYY',)",1,MinMax,CNN,50,Kalman,0.019639888764553973,0.14014238746558436,0.1379161214656155,-6.003958178904175,57.09151294117953
"('USPPIYY',)",1,MinMax,RNN,50,Kalman,0.019704368977129624,0.14037225144995583,0.13857813777037906,-6.026953050090094,56.28831405299722
"('USPPIYY',)",1,MinMax,ANN,50,Kalman,0.006247318529140868,0.07903998057401626,0.0735269556726992,-1.2279127052575998,31.445392752539114
"('USPPIYY',)",1,MinMax,RANDOM_FOREST,N/A,Kalman,0.017118332880910726,0.13083704705056104,0.12184840397339163,-5.104723352957432,51.43722422201069
"('USPPIYY',)",1,MinMax,XGBOOST,N/A,Kalman,0.014838937587505804,0.1218151779849531,0.11031111142007419,-4.291847603018752,47.66962929876987
"('USPPIYY',)",1,Standard,LSTM,50,Kalman,0.24129995951847644,0.49122292242776744,0.47566314416619077,-4.322218979056237,79.11749494448823
"('USPPIYY',)",1,Standard,GRU,50,Kalman,0.3158280553355888,0.561985814176469,0.5603739492389671,-5.966043730715115,92.60460795242227
"('USPPIYY',)",1,Standard,CNN,50,Kalman,0.2757283073828671,0.5250983787661766,0.5124787391108909,-5.081585896427724,81.87930565271823
"('USPPIYY',)",1,Standard,RNN,50,Kalman,0.21852002315031402,0.467461253100526,0.4496640068399212,-3.819774594389674,69.34028326796037
"('USPPIYY',)",1,Standard,ANN,50,Kalman,0.2303420881603663,0.47993967137585775,0.4635404963797281,-4.080527306050693,74.13962400307985
"('USPPIYY',)",1,Standard,RANDOM_FOREST,N/A,Kalman,0.2765129300939891,0.5258449677366791,0.4895004961481225,-5.0988918831044945,74.47083542274899
"('USPPIYY',)",1,Standard,XGBOOST,N/A,Kalman,0.24078927016400145,0.49070283284692934,0.44381302815499496,-4.310954988045991,61.296298360194015
"('INDPRO',)",1,MinMax,LSTM,50,Kalman,0.01048487441024628,0.10239567573997585,0.09249092750294143,-2.7391057943751678,40.608547661472514
"('INDPRO',)",1,MinMax,GRU,50,Kalman,0.32979385467962186,0.574276810153102,0.5716621536810689,-116.61076620782632,234.95846935480736
"('INDPRO',)",1,MinMax,CNN,50,Kalman,0.005705658206800577,0.07553580744786262,0.07002283045175953,-1.0347463238018082,30.084640999723554
"('INDPRO',)",1,MinMax,RNN,50,Kalman,0.013022541049173282,0.11411634873747618,0.09671289168209304,-3.6440860223244727,35.22273551341812
"('INDPRO',)",1,MinMax,ANN,50,Kalman,0.003648661664470909,0.06040415270882383,0.054671731338859116,-0.3011822018588455,21.724698800203612
"('INDPRO',)",1,MinMax,RANDOM_FOREST,N/A,Kalman,0.005103429475104631,0.07143829137867612,0.06403613076889414,-0.8199800946495572,27.7803927533259
"('INDPRO',)",1,MinMax,XGBOOST,N/A,Kalman,0.005271408227442474,0.07260446423907055,0.06515341871202376,-0.8798845152103361,28.303567614829134
"('INDPRO',)",1,Standard,LSTM,50,Kalman,0.09842921309684867,0.31373430334735264,0.29016860187442095,-1.1709984000121905,42.50110169611251
"('INDPRO',)",1,Standard,GRU,50,Kalman,0.0725660840341559,0.26938092737637515,0.16359590781520128,-0.6005497491714329,43.33682027240514
"('INDPRO',)",1,Standard,CNN,50,Kalman,0.09119342812123751,0.30198249638222,0.28593327425762166,-1.0114027158586714,44.80531355840352
"('INDPRO',)",1,Standard,RNN,50,Kalman,5.097381549412603,2.25773814899173,2.245489391636292,-111.43010931254439,357.8669053660027
"('INDPRO',)",1,Standard,ANN,50,Kalman,0.0897978355241091,0.29966286977887185,0.2829094522963863,-0.9806209062707654,43.78715107911217
"('INDPRO',)",1,Standard,RANDOM_FOREST,N/A,Kalman,0.08236947481007761,0.2870008271940651,0.2572476549888735,-0.8167776861791067,37.946299168150524
"('INDPRO',)",1,Standard,XGBOOST,N/A,Kalman,0.08565977162059772,0.29267690653790523,0.26269175732040906,-0.8893499326337828,38.3943098648931
"('UNRATE',)",1,MinMax,LSTM,50,Kalman,0.07525645307836891,0.2743290963029057,0.24717928267790468,-25.83788367502654,104.5790529814826
"('UNRATE',)",1,MinMax,GRU,50,Kalman,0.09608911650399245,0.30998244547714704,0.28630327869799027,-33.26720800254482,120.5481204688911
"('UNRATE',)",1,MinMax,CNN,50,Kalman,0.07477326482470313,0.27344700551423695,0.2434936055715568,-25.665569546276444,103.6338894591944
"('UNRATE',)",1,MinMax,RNN,50,Kalman,0.07752012012439682,0.27842435260658654,0.25025632651422547,-26.64515043256324,103.76312904129057
"('UNRATE',)",1,MinMax,ANN,50,Kalman,0.059314261670648495,0.24354519430826077,0.21229698550474982,-20.152594759272585,87.3222694967819
"('UNRATE',)",1,MinMax,RANDOM_FOREST,N/A,Kalman,0.2127285726150637,0.4612250780422328,0.4260538284737015,-74.86305828487838,175.28201049608361
"('UNRATE',)",1,MinMax,XGBOOST,N/A,Kalman,0.16961952185438908,0.41184890658394263,0.38192199268659766,-59.48955020244198,155.96007687428508
"('UNRATE',)",1,Standard,LSTM,50,Kalman,1.8868061822109525,1.3736106370478327,1.2515881577112355,-40.61623438645812,175.62839448275915
